Name,Average.coverage,Reference.length
contig-120_1_70,0.824,910
contig-120_1_128,0.685,655
contig-120_1_142,2.071,869
contig-120_1_158,0.102,1476
contig-120_1_205,6.914,243
contig-120_1_215,0.259,1158
contig-120_1_230,1.217,493
contig-120_1_240,1.444,514
contig-120_1_250,1.068,281
contig-120_2_246,0.491,611
contig-120_4_8,0.346,1302
contig-120_4_11,0.379,1184
contig-120_4_16,94.409,621
contig-120_4_71,0.736,174
contig-120_4_87,0.605,248
contig-120_4_89,146.946,202
contig-120_4_107,0.210,715
contig-120_4_120,0.463,2219
contig-120_5_17,1.316,228
contig-120_5_56,2.597,231
contig-120_5_61,4.491,267
contig-120_5_73,0.504,272
contig-120_5_80,1.485,202
contig-120_5_101,0.332,904
contig-120_5_104,0.296,1013
contig-120_5_105,1.210,248
contig-120_5_107,1.282,234
contig-120_6_83,0.339,1710
contig-120_7_58,0.209,1433
contig-120_8_5,0.610,246
contig-120_8_23,0.875,514
contig-120_8_57,1.852,324
contig-120_8_65,1.348,445
contig-120_8_90,4.797,344
contig-120_11_16,0.513,1170
contig-120_11_37,1.932,619
contig-120_11_38,0.361,416
contig-120_11_39,103.776,492
contig-120_11_40,58.565,294
contig-120_11_62,32.676,216
contig-120_11_74,1.613,186
contig-120_13_2,1.612,1113
contig-120_13_3,4.717,318
contig-120_13_4,3.690,935
contig-120_13_5,2.679,498
contig-120_13_6,3.284,811
contig-120_13_7,1.804,1247
contig-120_13_8,3.699,838
contig-120_13_9,10.885,557
contig-120_13_10,3.123,714
contig-120_13_11,1.130,531
contig-120_13_12,186.599,831
contig-120_13_13,126.775,948
contig-120_13_14,3.191,658
contig-120_13_17,0.498,603
contig-120_13_18,0.877,684
contig-120_13_21,1.095,274
contig-120_13_22,3.473,691
contig-120_13_23,5.652,816
contig-120_13_24,5.052,386
contig-120_13_25,75.831,360
contig-120_13_26,1.355,775
contig-120_13_27,5.120,1223
contig-120_13_28,12.769,537
contig-120_13_29,32.576,243
contig-120_13_30,90.567,480
contig-120_13_31,4.062,480
contig-120_13_32,1.225,475
contig-120_13_33,0.696,1078
contig-120_13_34,4.048,768
contig-120_13_35,16.251,271
contig-120_13_36,2.344,704
contig-120_13_37,7.420,1587
contig-120_13_38,0.379,2374
contig-120_13_40,0.964,1377
contig-120_13_41,5.976,420
contig-120_13_42,23.604,1212
contig-120_13_43,4.312,1697
contig-120_13_44,5.302,162
contig-120_13_45,1.549,772
contig-120_13_46,1.763,3309
contig-120_13_47,1.622,370
contig-120_13_48,1.471,204
contig-120_13_49,0.602,997
contig-120_13_50,6.481,646
contig-120_13_51,47.651,744
contig-120_13_52,124.974,195
contig-120_13_53,196.554,579
contig-120_13_54,0.510,2057
contig-120_13_55,3.036,494
contig-120_13_56,0.802,374
contig-120_13_57,1.347,334
contig-120_13_58,0.264,1707
contig-120_13_59,0.754,1393
contig-120_13_60,155.313,195
contig-120_13_61,2.334,1074
contig-120_13_62,6.143,231
contig-120_13_64,1.922,1155
contig-120_13_65,2.335,257
contig-120_13_66,0.392,766
contig-120_13_67,0.401,749
contig-120_13_68,0.730,822
contig-120_13_69,1.480,1317
contig-120_13_71,1.268,590
contig-120_13_72,0.731,1413
contig-120_13_73,3.048,538
contig-120_13_74,0.920,163
contig-120_13_77,0.561,535
contig-120_13_82,1.667,360
contig-120_13_86,2.098,286
contig-120_13_87,2.916,1218
contig-120_13_88,2.280,1645
contig-120_13_89,4.258,765
contig-120_13_90,7.280,861
contig-120_14_29,2.627,394
contig-120_15_1,135.734,612
contig-120_15_2,5.017,414
contig-120_15_3,119.597,375
contig-120_15_4,122.558,471
contig-120_15_5,107.889,2115
contig-120_15_6,298.766,1197
contig-120_15_7,0.979,766
contig-120_15_8,2.697,600
contig-120_15_9,367.890,309
contig-120_15_10,278.832,654
contig-120_15_11,262.899,819
contig-120_15_12,154.023,300
contig-120_15_13,238.233,837
contig-120_15_14,123.674,282
contig-120_15_15,159.694,399
contig-120_15_16,151.296,804
contig-120_15_17,78.010,420
contig-120_15_18,125.456,237
contig-120_15_19,234.453,300
contig-120_15_20,127.629,369
contig-120_15_21,216.793,348
contig-120_15_22,164.169,561
contig-120_15_23,133.059,186
contig-120_15_24,114.441,399
contig-120_15_25,116.091,537
contig-120_15_26,61.160,375
contig-120_15_27,169.922,651
contig-120_15_28,162.623,183
contig-120_15_29,160.041,486
contig-120_15_30,31.651,1314
contig-120_15_31,22.232,561
contig-120_15_33,8.789,852
contig-120_15_34,1.026,1608
contig-120_15_35,0.635,1890
contig-120_15_36,2.199,1022
contig-120_15_37,2.339,449
contig-120_15_38,1.513,1388
contig-120_15_41,286.860,222
contig-120_15_43,131.611,378
contig-120_15_44,142.763,405
contig-120_15_45,156.772,609
contig-120_15_46,107.431,1035
contig-120_15_47,188.049,753
contig-120_15_48,1.244,1206
contig-120_15_49,2.281,526
contig-120_15_50,0.674,445
contig-120_15_51,1.948,1684
contig-120_15_52,1.829,328
contig-120_15_53,1.399,1387
contig-120_15_55,0.361,832
contig-120_15_56,0.196,3064
contig-120_15_57,4.897,359
contig-120_15_58,13.064,1304
contig-120_15_59,21.823,645
contig-120_15_60,108.696,444
contig-120_15_61,162.421,516
contig-120_15_62,20.193,1350
contig-120_15_63,1.912,1389
contig-120_15_64,1.308,227
contig-120_15_65,1.145,262
contig-120_15_66,0.318,472
contig-120_15_67,1.175,1532
contig-120_15_68,1.724,783
contig-120_15_69,16.521,522
contig-120_15_70,1.415,212
contig-120_15_71,0.585,1026
contig-120_15_72,8.025,1026
contig-120_15_73,0.531,2258
contig-120_15_74,1.141,920
contig-120_15_75,0.905,497
contig-120_15_77,8.540,1086
contig-120_15_78,0.585,1282
contig-120_15_79,1.250,360
contig-120_16_1,0.287,1044
contig-120_16_2,1.734,173
contig-120_16_3,7.205,283
contig-120_16_4,0.563,2132
contig-120_16_5,0.621,483
contig-120_16_7,1.951,1230
contig-120_16_8,1.175,766
contig-120_16_9,0.920,163
contig-120_16_10,1.945,617
contig-120_16_11,3.540,883
contig-120_16_12,1.364,654
contig-120_16_13,6.446,354
contig-120_16_14,4.525,160
contig-120_16_16,9.350,369
contig-120_16_17,3.212,1583
contig-120_16_18,2.495,588
contig-120_16_19,1.095,274
contig-120_16_20,1.070,701
contig-120_16_21,0.785,382
contig-120_16_22,3.582,835
contig-120_16_23,1.217,720
contig-120_16_24,0.733,1433
contig-120_16_25,5.307,2083
contig-120_16_26,2.156,1322
contig-120_16_27,0.771,389
contig-120_16_28,0.438,685
contig-120_16_29,0.421,713
contig-120_16_30,1.282,1170
contig-120_16_31,1.438,313
contig-120_16_32,2.587,2778
contig-120_16_33,4.076,867
contig-120_16_34,7.615,447
contig-120_16_35,19.055,291
contig-120_16_36,3.412,738
contig-120_16_37,2.650,1302
contig-120_16_38,1.382,434
contig-120_16_39,0.690,869
contig-120_16_40,0.248,1212
contig-120_16_41,0.409,367
contig-120_16_42,1.367,875
contig-120_16_43,2.261,199
contig-120_16_44,1.014,296
contig-120_16_45,3.968,678
contig-120_16_46,5.714,1231
contig-120_16_47,1.493,1205
contig-120_16_48,1.230,488
contig-120_16_49,6.555,887
contig-120_16_50,3.838,1198
contig-120_16_51,1.274,471
contig-120_16_56,3.645,971
contig-120_16_57,1.546,485
contig-120_16_58,0.850,353
contig-120_16_59,2.748,655
contig-120_16_60,0.882,340
contig-120_16_61,1.071,280
contig-120_16_63,0.667,450
contig-120_16_64,5.371,391
contig-120_16_65,18.105,645
contig-120_16_66,7.219,2360
contig-120_16_67,9.588,306
contig-120_16_68,3.575,1383
contig-120_17_18,0.684,3510
contig-120_17_27,1.014,296
contig-120_17_43,0.750,400
contig-120_17_50,1.333,225
contig-120_17_52,1.376,218
contig-120_17_56,0.595,252
contig-120_17_57,10.231,555
contig-120_17_66,0.400,750
contig-120_17_67,25.613,639
contig-120_17_74,1.795,497
contig-120_17_75,0.453,331
contig-120_18_2,1.627,553
contig-120_18_3,4.967,604
contig-120_18_4,15.090,345
contig-120_18_5,2.655,1243
contig-120_18_6,2.104,2353
contig-120_18_7,1.310,229
contig-120_18_8,0.637,706
contig-120_18_9,0.598,251
contig-120_18_17,2.381,441
contig-120_18_20,0.875,686
contig-120_18_23,0.781,192
contig-120_18_24,0.888,1014
contig-120_18_27,3.981,1009
contig-120_18_28,1.650,1267
contig-120_18_30,0.952,1261
contig-120_18_31,2.302,391
contig-120_18_32,0.647,1160
contig-120_18_33,0.420,678
contig-120_18_34,1.711,783
contig-120_18_35,2.893,516
contig-120_18_36,1.829,738
contig-120_18_38,3.513,714
contig-120_18_39,5.042,385
contig-120_18_40,1.810,153
contig-120_18_42,11.771,1013
contig-120_18_43,7.052,1125
contig-120_18_44,4.543,324
contig-120_18_45,29.401,2406
contig-120_18_46,7.372,465
contig-120_18_47,5.560,968
contig-120_18_48,0.897,648
contig-120_18_49,0.876,1027
contig-120_18_51,3.500,204
contig-120_18_52,3.659,1182
contig-120_18_53,1.429,945
contig-120_18_54,3.478,1246
contig-120_18_55,0.531,1115
contig-120_18_56,6.069,519
contig-120_18_57,5.026,537
contig-120_18_59,1.917,696
contig-120_18_60,1.012,1926
contig-120_18_61,13.200,828
contig-120_18_62,2.857,467
contig-120_18_63,3.570,917
contig-120_18_64,0.859,1562
contig-120_18_65,0.601,499
contig-120_18_66,2.753,320
contig-120_18_67,1.596,658
contig-120_18_68,6.040,321
contig-120_18_69,1.905,231
contig-120_19_2,2.013,297
contig-120_19_4,1.056,568
contig-120_19_8,0.582,2063
contig-120_19_9,1.245,723
contig-120_19_10,1.288,233
contig-120_19_11,0.792,379
contig-120_19_12,0.769,2129
contig-120_19_13,0.546,1369
contig-120_19_16,0.930,1613
contig-120_19_18,0.134,1117
contig-120_19_23,0.413,727
contig-120_19_28,0.285,1054
contig-120_19_29,0.192,1566
contig-120_19_30,0.968,620
contig-120_19_31,3.460,819
contig-120_19_32,1.982,1589
contig-120_19_33,4.706,540
contig-120_19_34,1.515,495
contig-120_19_35,1.408,213
contig-120_19_36,2.600,1092
contig-120_19_37,1.667,360
contig-120_19_38,3.138,239
contig-120_19_39,3.105,1535
contig-120_19_40,0.985,601
contig-120_19_42,0.256,1174
contig-120_19_45,3.563,421
contig-120_19_46,1.068,843
contig-120_19_47,2.174,276
contig-120_19_48,2.095,211
contig-120_19_49,0.690,1287
contig-120_19_51,3.632,1363
contig-120_19_52,1.972,142
contig-120_19_53,0.442,2378
contig-120_19_55,0.452,663
contig-120_20_1,7.687,504
contig-120_20_2,15.402,1869
contig-120_20_3,3.753,582
contig-120_20_4,13.160,1326
contig-120_20_5,10.669,525
contig-120_20_6,16.371,1578
contig-120_20_7,1.622,540
contig-120_20_8,2.762,543
contig-120_20_9,3.773,1308
contig-120_20_10,2.384,245
contig-120_20_11,24.954,1932
contig-120_20_12,13.856,612
contig-120_20_13,20.851,852
contig-120_20_14,8.905,849
contig-120_20_15,7.347,1143
contig-120_20_16,3.381,441
contig-120_20_17,10.458,502
contig-120_20_18,62.406,475
contig-120_20_19,25.735,336
contig-120_20_20,22.323,1176
contig-120_20_21,10.345,1268
contig-120_20_22,2.332,957
contig-120_20_23,1.761,593
contig-120_20_24,2.523,1189
contig-120_20_25,44.167,900
contig-120_20_26,73.982,606
contig-120_20_27,86.474,720
contig-120_20_28,6.831,1268
contig-120_20_29,11.018,2178
contig-120_20_30,4.113,467
contig-120_20_31,8.878,353
contig-120_20_32,9.126,159
contig-120_20_33,9.853,1429
contig-120_20_34,4.477,562
contig-120_20_36,1.020,294
contig-120_20_37,1.124,267
contig-120_20_38,18.675,845
contig-120_20_40,28.845,709
contig-120_20_41,2.474,970
contig-120_20_42,0.762,961
contig-120_20_43,4.905,671
contig-120_20_44,39.817,618
contig-120_20_45,19.482,708
contig-120_20_46,9.837,699
contig-120_20_47,16.295,742
contig-120_20_48,1.000,131
contig-120_20_51,10.847,399
contig-120_20_52,8.019,369
contig-120_20_53,2.586,1334
contig-120_20_54,0.818,1065
contig-120_20_55,0.656,457
contig-120_20_56,0.547,1082
contig-120_20_57,1.255,816
contig-120_20_58,0.915,810
contig-120_20_59,23.748,615
contig-120_20_60,4.239,460
contig-120_20_61,29.943,1131
contig-120_20_62,10.595,1046
contig-120_20_63,25.960,2847
contig-120_20_64,17.212,543
contig-120_20_65,45.350,469
contig-120_20_66,1.497,501
contig-120_20_67,1.867,1125
contig-120_20_68,7.332,322
contig-120_20_69,0.600,725
contig-120_20_70,11.172,1323
contig-120_21_7,50.018,621
contig-120_21_23,2.527,831
contig-120_21_34,1.132,265
contig-120_21_55,2.441,304
contig-120_22_2,142.863,1281
contig-120_22_3,11.424,615
contig-120_22_4,25.322,2565
contig-120_22_5,24.667,648
contig-120_22_6,15.881,708
contig-120_22_7,34.847,1299
contig-120_22_8,27.483,1191
contig-120_22_9,15.218,477
contig-120_22_10,5.179,2748
contig-120_22_11,212.956,477
contig-120_22_12,33.663,1566
contig-120_22_13,30.436,789
contig-120_22_14,12.696,552
contig-120_22_15,16.642,1284
contig-120_22_16,684.036,276
contig-120_22_17,24.368,1314
